sample	standard_curve	ngml_av	se_mean	flag
75204.1	MoPrP16	256.87	2.442	
76261.3	MoPrP16	327.457	0.768	
78546.2	MoPrP16	333.131	6.954	
84066.1	MoPrP16	296.37	7.496	
88849.3	MoPrP16	279.73	9.143	
88850.1	MoPrP16	261.269	1.957	
88850.2	MoPrP16	314.781	12.421	
88851.1	MoPrP16	1000	0	ULQ
88851.2	MoPrP16	1000	0	ULQ
CG1	MoPrP16	160.418	2.221	
CG2	MoPrP16	152.904	13.178	
CG3	MoPrP16	124.922	0.516	
CI4	MoPrP16	126.213	0.258	
CI5	MoPrP16	153.986	0.745	
CP1	MoPrP16	246.152	2.917	
Mo Neg QC	MoPrP16	10.24	0	LLQ
Mo Pos Hi QC	MoPrP16	237.184	11.398	
Mo Pos Lo QC	MoPrP16	34.214	0	
Mo Pos Mid QC	MoPrP16	164.11	3.936	
